Date,Close/Last,Volume,Open,High,Low
"45,421.00",184.57,"48,982,970.00",182.56,184.66,182.11
"45,420.00",182.74,"45,057,090.00",182.85,183.07,181.45
"45,419.00",182.40,"77,305,770.00",183.45,184.90,181.32
"45,418.00",181.71,"78,569,670.00",182.35,184.20,180.42
"45,415.00",183.38,"163,224,100.00",186.65,187.00,182.66
"45,414.00",173.03,"94,214,920.00",172.51,173.42,170.89
"45,413.00",169.30,"50,383,150.00",169.58,172.71,169.11
"45,412.00",170.33,"65,934,780.00",173.33,174.99,170.00
"45,411.00",173.50,"68,169,420.00",173.37,176.03,173.10
"45,408.00",169.30,"44,838,350.00",169.88,171.34,169.18
"45,407.00",169.89,"50,558,330.00",169.53,170.61,168.15
"45,406.00",169.02,"48,251,840.00",166.54,169.30,166.21
"45,405.00",166.90,"49,537,760.00",165.35,167.05,164.92
"45,404.00",165.84,"48,116,440.00",165.52,167.26,164.77
"45,401.00",165.00,"68,149,380.00",166.21,166.40,164.08
"45,400.00",167.04,"43,122,900.00",168.03,168.64,166.55
"45,399.00",168.00,"50,901,210.00",169.61,170.65,168.00
"45,398.00",169.38,"73,711,240.00",171.75,173.76,168.27
"45,397.00",172.69,"73,531,770.00",175.36,176.63,172.50
"45,394.00",176.55,"101,670,900.00",174.26,178.36,174.21
"45,393.00",175.04,"91,070,280.00",168.34,175.46,168.16
"45,392.00",167.78,"49,709,340.00",168.80,169.09,167.11
"45,391.00",169.67,"42,451,210.00",168.70,170.08,168.35
"45,390.00",168.45,"37,425,510.00",169.03,169.20,168.24
"45,387.00",169.58,"42,104,830.00",169.59,170.39,168.95
"45,386.00",168.82,"53,704,390.00",170.29,171.92,168.82
"45,385.00",169.65,"47,691,720.00",168.79,170.68,168.58
"45,384.00",168.84,"49,329,480.00",169.08,169.34,168.23
"45,383.00",170.03,"46,240,500.00",171.19,171.25,169.48
"45,379.00",171.48,"65,672,690.00",171.75,172.23,170.51
"45,378.00",173.31,"60,273,270.00",170.41,173.60,170.11
"45,377.00",169.71,"57,388,450.00",170.00,171.42,169.58
"45,376.00",170.85,"54,288,330.00",170.57,171.94,169.45
"45,373.00",172.28,"71,160,140.00",171.76,173.05,170.06
"45,372.00",171.37,"106,181,300.00",177.05,177.49,170.84
"45,371.00",178.67,"53,423,100.00",175.72,178.67,175.09
"45,370.00",176.08,"55,215,240.00",174.34,176.61,173.03
"45,369.00",173.72,"75,604,180.00",175.57,177.71,173.52
"45,366.00",172.62,"121,752,700.00",171.17,172.62,170.29
"45,365.00",173.00,"72,913,510.00",172.91,174.31,172.05
"45,364.00",171.13,"52,488,690.00",172.77,173.19,170.76
"45,363.00",173.23,"59,825,370.00",173.15,174.03,171.01
"45,362.00",172.75,"60,139,470.00",172.94,174.38,172.05
"45,359.00",170.73,"76,267,040.00",169.00,173.70,168.94
"45,358.00",169.00,"71,765,060.00",169.15,170.73,168.49
"45,357.00",169.12,"68,587,710.00",171.06,171.24,168.68
"45,356.00",170.12,"95,132,360.00",170.76,172.04,169.62
"45,355.00",175.10,"81,510,100.00",176.15,176.90,173.79
"45,352.00",179.66,"73,563,080.00",179.55,180.53,177.38
"45,351.00",180.75,"136,682,600.00",181.27,182.57,179.53
"45,350.00",181.42,"48,953,940.00",182.51,183.12,180.13
"45,349.00",182.63,"54,318,850.00",181.10,183.92,179.56
"45,348.00",181.16,"40,867,420.00",182.24,182.76,180.65
"45,345.00",182.52,"45,119,680.00",185.01,185.04,182.23
"45,344.00",184.37,"52,292,210.00",183.48,184.96,182.46
"45,343.00",182.32,"41,529,670.00",181.94,182.89,180.66
"45,342.00",181.56,"53,665,550.00",181.79,182.43,180.00
"45,338.00",182.31,"49,752,470.00",183.42,184.85,181.67
"45,337.00",183.86,"65,434,500.00",183.55,184.49,181.35
"45,336.00",184.15,"54,630,520.00",185.32,185.53,182.44
"45,335.00",185.04,"56,529,530.00",185.77,186.21,183.51
"45,334.00",187.15,"41,781,930.00",188.42,188.67,186.79
"45,331.00",188.85,"45,155,220.00",188.65,189.99,188.00
"45,330.00",188.32,"40,962,050.00",189.39,189.54,187.35
"45,329.00",189.41,"53,438,960.00",190.64,191.05,188.61
"45,328.00",189.30,"43,490,760.00",186.86,189.31,186.77
"45,327.00",187.68,"69,668,820.00",188.15,189.25,185.84
"45,324.00",185.85,"102,551,700.00",179.86,187.33,179.25
"45,323.00",186.86,"64,885,410.00",183.99,186.95,183.82
"45,322.00",184.40,"55,467,800.00",187.04,187.10,184.35
"45,321.00",188.04,"55,859,370.00",190.94,191.80,187.47
"45,320.00",191.73,"47,145,620.00",192.01,192.20,189.58
"45,317.00",192.42,"44,594,010.00",194.27,194.76,191.94
"45,316.00",194.17,"54,822,130.00",195.22,196.27,193.11
"45,315.00",194.50,"53,631,320.00",195.42,196.38,194.34
"45,314.00",195.18,"42,355,590.00",195.02,195.75,193.83
"45,313.00",193.89,"60,133,850.00",192.30,195.33,192.26
"45,310.00",191.56,"68,902,990.00",189.33,191.95,188.82
"45,309.00",188.63,"78,005,750.00",186.09,189.14,185.83
"45,308.00",182.68,"47,317,430.00",181.27,182.93,180.30
"45,307.00",183.63,"65,603,040.00",182.16,184.26,180.93
"45,303.00",185.92,"40,477,780.00",186.06,186.74,185.19
"45,302.00",185.59,"49,128,410.00",186.54,187.05,183.62
"45,301.00",186.19,"46,792,910.00",184.35,186.40,183.92
"45,300.00",185.14,"42,841,810.00",183.92,185.15,182.73
"45,299.00",185.56,"59,144,470.00",182.09,185.60,181.50
"45,296.00",181.18,"62,379,660.00",181.99,182.76,180.17
"45,295.00",181.91,"71,983,570.00",182.15,183.09,180.88
"45,294.00",184.25,"58,414,460.00",184.22,185.88,183.43
"45,293.00",185.64,"82,488,670.00",187.15,188.44,183.89
"45,289.00",192.53,"42,672,150.00",193.90,194.40,191.73
"45,288.00",193.58,"34,049,900.00",194.14,194.66,193.17
"45,287.00",193.15,"48,087,680.00",192.49,193.50,191.09
"45,286.00",193.05,"28,919,310.00",193.61,193.89,192.83
"45,282.00",193.60,"37,149,570.00",195.18,195.41,192.97
"45,281.00",194.68,"46,482,550.00",196.10,197.08,193.50
"45,280.00",194.83,"52,242,820.00",196.90,197.68,194.83
"45,279.00",196.94,"40,714,050.00",196.16,196.95,195.89
"45,278.00",195.89,"55,751,860.00",196.09,196.63,194.39
"45,275.00",197.57,"128,538,400.00",197.53,198.40,197.00
"45,274.00",198.11,"66,831,570.00",198.02,199.62,196.16
"45,273.00",197.96,"70,404,180.00",195.09,198.00,194.85
"45,272.00",194.71,"52,696,900.00",193.08,194.72,191.72
"45,271.00",193.18,"60,943,700.00",193.11,193.49,191.42
"45,268.00",195.71,"53,406,360.00",194.20,195.99,193.67
"45,267.00",194.27,"47,477,660.00",193.63,195.00,193.59
"45,266.00",192.32,"41,089,740.00",194.45,194.76,192.11
"45,265.00",193.42,"66,628,400.00",190.21,194.40,190.18
"45,264.00",189.43,"43,389,520.00",189.98,190.05,187.45
"45,261.00",191.24,"45,704,820.00",190.33,191.56,189.23
"45,260.00",189.95,"48,794,370.00",189.84,190.32,188.19
"45,259.00",189.37,"43,014,220.00",190.90,192.09,188.97
"45,258.00",190.40,"38,415,420.00",189.78,191.08,189.40
